iter	Passed	Remaining
0	105	27553
1	221	28730
2	342	29439
3	442	28462
4	552	28267
5	677	28792
6	794	28828
7	907	28699
8	1026	28735
9	1138	28568
10	1238	28157
11	1336	27736
12	1435	27382
13	1549	27333
14	1648	27027
15	1750	26809
16	1848	26528
17	1944	26252
18	2048	26091
19	2169	26141
20	2276	26017
21	2375	25806
22	2469	25556
23	2563	25311
24	2657	25089
25	2757	24924
26	2852	24721
27	2950	24552
28	3041	24335
29	3141	24186
30	3238	24025
31	3331	23841
32	3430	23704
33	3533	23590
34	3633	23464
35	3730	23317
36	3830	23190
37	3924	23031
38	4018	22874
39	4115	22736
40	4212	22603
41	4308	22464
42	4402	22320
43	4497	22181
44	4591	22036
45	4685	21900
46	4781	21769
47	4880	21658
48	4976	21532
49	5081	21445
50	5188	21366
51	5290	21263
52	5389	21152
53	5488	21040
54	5582	20909
55	5678	20785
56	5770	20653
57	5865	20529
58	5960	20406
59	6058	20296
60	6170	20230
61	6269	20122
62	6363	20001
63	6458	19879
64	6553	19761
65	6665	19693
66	6777	19623
67	6887	19548
68	6986	19441
69	7082	19324
70	7184	19226
71	7280	19111
72	7382	19012
73	7477	18896
74	7571	18777
75	7665	18658
76	7758	18539
77	7852	18424
78	7946	18306
79	8043	18197
80	8138	18086
81	8234	17976
82	8333	17871
83	8446	17798
84	8564	17734
85	8682	17666
86	8785	17571
87	8890	17477
88	8982	17358
89	9080	17252
90	9173	17136
91	9265	17020
92	9358	16906
93	9454	16797
94	9551	16690
95	9650	16587
96	9746	16478
97	9838	16363
98	9933	16255
99	10026	16143
100	10120	16032
101	10214	15922
102	10305	15808
103	10401	15702
104	10493	15589
105	10585	15478
106	10677	15367
107	10770	15258
108	10864	15151
109	10957	15042
110	11052	14935
111	11150	14833
112	11245	14728
113	11341	14624
114	11433	14515
115	11529	14411
116	11625	14307
117	11717	14200
118	11817	14101
119	11911	13995
120	12005	13891
121	12101	13787
122	12197	13685
123	12296	13585
124	12386	13476
125	12478	13370
126	12574	13267
127	12669	13164
128	12772	13069
129	12867	12966
130	12961	12862
131	13060	12763
132	13154	12659
133	13252	12559
134	13354	12464
135	13446	12359
136	13540	12255
137	13638	12156
138	13731	12052
139	13823	11947
140	13919	11846
141	14020	11749
142	14125	11655
143	14233	11565
144	14344	11475
145	14450	11382
146	14558	11290
147	14681	11209
148	14805	11128
149	14905	11029
150	15002	10928
151	15100	10828
152	15196	10726
153	15292	10625
154	15394	10527
155	15491	10427
156	15588	10326
157	15682	10223
158	15779	10122
159	15875	10021
160	15967	9917
161	16060	9814
162	16154	9712
163	16247	9609
164	16338	9506
165	16433	9404
166	16528	9303
167	16624	9202
168	16718	9100
169	16809	8997
170	16902	8895
171	16997	8795
172	17090	8693
173	17183	8591
174	17278	8491
175	17374	8390
176	17468	8290
177	17559	8187
178	17649	8085
179	17744	7984
180	17842	7886
181	17936	7785
182	18029	7684
183	18123	7584
184	18213	7482
185	18308	7382
186	18403	7282
187	18499	7183
188	18591	7082
189	18684	6982
190	18782	6883
191	18879	6784
192	18970	6684
193	19064	6584
194	19159	6484
195	19257	6386
196	19354	6287
197	19446	6187
198	19542	6088
199	19634	5988
200	19732	5890
201	19827	5791
202	19920	5691
203	20023	5594
204	20123	5497
205	20219	5398
206	20317	5300
207	20410	5200
208	20507	5102
209	20598	5002
210	20693	4903
211	20786	4804
212	20878	4704
213	20970	4605
214	21064	4506
215	21160	4408
216	21255	4309
217	21349	4211
218	21441	4112
219	21535	4013
220	21630	3915
221	21722	3816
222	21815	3717
223	21906	3618
224	22000	3520
225	22096	3422
226	22189	3323
227	22289	3226
228	22393	3129
229	22498	3032
230	22596	2934
231	22691	2836
232	22784	2738
233	22878	2639
234	22972	2541
235	23067	2443
236	23162	2345
237	23257	2247
238	23349	2149
239	23440	2051
240	23537	1953
241	23630	1855
242	23729	1757
243	23828	1660
244	23934	1563
245	24040	1465
246	24142	1368
247	24236	1270
248	24335	1172
249	24449	1075
250	24554	978
251	24660	880
252	24764	783
253	24868	685
254	24973	587
255	25067	489
256	25165	391
257	25258	293
258	25350	195
259	25446	97
260	25539	0
